,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
790,NHL Stenden Computer Vision & Data Science,38,6724,25,2013-09-02T06:35:25Z,NHL Stenden Computer Vision & Data Science,UCiY2OYO5uETH_be66cKYeag
792,HVL Data Science,21,380,6,2021-05-06T08:06:41.405905Z,HVL Data Science,UCXIeJjgRJXsBP9ynWToAPsw
794,Man of Data Science,6,10205,44,2016-11-11T20:30:30Z,Man of Data Science,UCPzFrf4rrSOQ98n1QzkdKSA
796,UoM Institute for Data Science & AI,110,3928,40,2019-12-06T10:45:59.444124Z,UoM Institute for Data Science & AI,UCao3uVR6s_MaSXkdqLVq7ww
798,emma,4,403,88,2011-11-04T06:33:32Z,emma,UCDukp6v2za1I_8IrOaNlJuw
800,"Institute of Data Science (IDS), NUS",59,3031,22,2021-07-02T02:52:37.187816Z,"Institute of Data Science (IDS), NUS",UCY-AZ_4eFcbOgCB4dSQfLlA
802,Data science Community,28,2501,6,2020-03-24T14:27:57.893004Z,Data science Community,UCETGt7VbsefoBnlrjdoZmDQ
804,Data Science Institute,25,386,18,2022-03-29T09:47:40.26474Z,Data Science Institute,UC2DZR6PvG3hEdFuKI1n29Cg
805,Data Science Institute,25,386,18,2022-03-29T09:47:40.26474Z,Data Science Institute,UCGpXZDA-OSuoj2knIQdq-zA
808,Data Science Quest,6,901,51,2020-09-19T20:44:11.210147Z,Data Science Quest,UC4O7eNLXGbpiCEr5VQFHrpQ
810,Data Science Kazakhstan,520,15994,41,2018-02-17T13:51:23Z,Data Science Kazakhstan,UC5oQndVv2yGbMc6ew6j-0Vg
812,LU - Data Science Institute,8,399,5,2021-10-28T15:46:22.940125Z,LU - Data Science Institute,UCbIaCnw5ulNQqLdA4CVZq1Q
814,Андрей Data Science Канашов,1890,75783,8,2013-08-07T17:33:28Z,Андрей Data Science Канашов,UCnFoc_fRVuHzXXTO34d5vXg
816,Sun Devil Data Science,49,1773,10,2020-09-08T20:39:12.03442Z,Sun Devil Data Science,UChELZn8UwqMXVfut6bv0T4A
818,Shashank Kalanithi,101000,4362162,141,2011-10-01T21:44:24Z,Shashank Kalanithi,UCvZnwzmc3m1Eush-Or8Z6DA
820,Discovery with Data Science,5,174,8,2021-12-06T12:34:23.7164Z,Discovery with Data Science,UChvWQJuAeIs6_v5AeJA39gA
822,DC Data Science,22,4458,2,2019-11-09T22:59:50.598561Z,DC Data Science,UCjoq9T1wspFWtrsYRPFLskw
824,B4DS - Business Engineering for Data Science,6,397,20,2021-09-28T07:36:11.960184Z,B4DS - Business Engineering for Data Science,UCTfw0A9lR-v7vLuULkPyPpw
826,Notre Dame Data Science,178,18093,15,2016-08-19T17:54:39Z,Notre Dame Data Science,UCzxA8kvU5n6HwNmXGbdsqug
828,David Robinson,14300,402390,113,2007-07-22T04:33:32Z,David Robinson,UCeiiqmVK07qhY-wvg3IZiZQ
830,Harpreet Sahota | The Artists of Data Science,1410,67533,347,2020-04-28T21:23:10.238813Z,Harpreet Sahota | The Artists of Data Science,UCaToJX3gtTgnT7WNrrbtbqg
832,Data Science with Yan,774,64158,42,2021-02-24T23:58:52.384716Z,Data Science with Yan,UCf3hRwWWz-2HxdMdwOWVpow
834,Women in Data Science Regional,370,9984,38,2018-01-05T18:09:22Z,Women in Data Science Regional,UCHGAwygtFWAonSYfjeUv0iA
836,Data Science Rush,46,1927,24,2019-12-15T18:06:09.690331Z,Data Science Rush,UCC1I4KoxkaXtsTSecYIidGA
838,Data Science on the Fly,83,1492,15,2021-08-16T18:26:46.601591Z,Data Science on the Fly,UCEC76IN7pH9rl5pkxFkr7cw
840,mlgorithm Data Science,138,38250,20,2014-07-01T09:27:22Z,mlgorithm Data Science,UCpSoP3Y6aZxFUvvpwvjDReg
842,Mr Data Science,8,4663,2,2019-08-31T19:04:14Z,Mr Data Science,UCHQeKhLl99Ho6EF0MNZozWQ
844,Data Science Partners,0,10,1,2022-08-23T13:25:59.791639Z,Data Science Partners,UCIbg6eHZY1UI2u5AFe3uqnA
846,Data Science Tutorials,465,29549,54,2021-09-11T06:37:39.056389Z,Data Science Tutorials,UCk5tiFqPvdjsl7yT4mmokmg
847,Data Science Tutorials,465,29549,54,2021-09-11T06:37:39.056389Z,Data Science Tutorials,UCH15dz_euC9vs75L6jW9pUg
850,Analytics Vidhya,15600,492262,216,2014-06-02T12:10:06Z,Analytics Vidhya,UCH6gDteHtH4hg3o2343iObA
852,Naveen Reddy,2,1160,3,2015-06-08T12:44:24Z,Naveen Reddy,UCv9hnyDv4uSJPXZvLCbhhBA
854,Bioinformatics: Data Science for Biology,120,9429,36,2020-07-18T18:43:02.241124Z,Bioinformatics: Data Science for Biology,UCx3QJc2DZSo-mny8UERmywg
856,Learn Data Science,11,1421,6,2021-07-30T07:38:58.934887Z,Learn Data Science,UCJhW_16uxALr0X4olEW2p5A
857,Learn Data Science,11,1421,6,2021-07-30T07:38:58.934887Z,Learn Data Science,UCGBfiCUQZHY5wnnVnQzV7pw
858,Learn Data Science,11,1421,6,2021-07-30T07:38:58.934887Z,Learn Data Science,UCEu0zQIMxlLNqZQGxghPNog
859,Learn Data Science,11,1421,6,2021-07-30T07:38:58.934887Z,Learn Data Science,UCyV_sDyCIsoHm-8iow5kkYQ
864,Master of Science in Data Science SWU,301,40904,356,2019-06-20T03:27:09Z,Master of Science in Data Science SWU,UC7it0k4kHdEGHERkDV2GQ-g
866,Python for data science by Yakub,461,5544,69,2015-05-26T16:33:04Z,Python for data science by Yakub,UCAuZ5lFOQiw3-VCwdFkx64g
868,Intro Data Science,87,2471,27,2021-01-18T18:13:48.536618Z,Intro Data Science,UCCl4jJKKsTy-ZDvh69Y7UDQ
870,"Jeremy Yang - Data science, etc.",324,16517,14,2017-04-30T18:58:16Z,"Jeremy Yang - Data science, etc.",UCZAnpteBkuVUtm4FaYDheog
872,Data Science Today,21,3052,31,2020-07-17T12:20:19.480793Z,Data Science Today,UCbLakoBIId-QkAK3WsME0Ng
874,Le Wagon LATAM,3810,145952,154,2020-08-20T18:46:36.129117Z,Le Wagon LATAM,UCR5C1X1xM6EUtvypOs7Xraw
876,Data Science Academy,1190,187468,12,2020-03-19T16:04:58.742727Z,Data Science Academy,UCyoi9yYaQRQ2F34wDLosr2A
877,Data Science Academy,1190,187468,12,2020-03-19T16:04:58.742727Z,Data Science Academy,UC1oYhdMunv5IxdPGEBoVPGw
880,Data Science Br,14,0,0,2022-08-23T22:25:04.614553Z,Data Science Br,UCcnHV193N3yMDcO2Yc2q7-A
882,JKU Visual Data Science Lab,7,551,12,2020-12-21T12:40:36.909011Z,JKU Visual Data Science Lab,UCH0ztMDNtQuIx0-ZWIavG0Q
884,The Foundations of Biomedical Data Science,2220,100709,92,2016-08-15T17:40:40Z,The Foundations of Biomedical Data Science,UCKIDQOa0JcUd3K9C1TS7FLQ
886,Data Science Research Center,2,236,5,2020-11-30T12:19:52.528636Z,Data Science Research Center,UCI_y3dyCT9ADCMY5otpcv1A
888,Data Science School,11,602,18,2020-12-08T08:12:02.927195Z,Data Science School,UCdcjBJmE7CnTMAD_zNHjmbw
889,Data Science School,11,602,18,2020-12-08T08:12:02.927195Z,Data Science School,UCTkbP1KbfQQlt1sqHJ0GDbA
892,University of Wisconsin Data Science Master's Degree,56,2275,1,2015-05-19T20:22:01Z,University of Wisconsin Data Science Master's Degree,UCO-9uwoAtXv8Rsn5Y-WvTIw
894,Awesome Data Science,48,14852,9,2020-04-12T05:00:15.117749Z,Awesome Data Science,UCvuXAt015WbBePQzlPFWvSQ
896,iDash Szkolenia Data Science,33,1261,6,2017-11-02T17:43:39Z,iDash Szkolenia Data Science,UC2BOsSZvYHMlUvp-9X7q6gw
898,Data Science Graduate Shorts,63,29023,74,2021-06-25T08:21:34.728372Z,Data Science Graduate Shorts,UC8hvRy2H84Mekck267NdGEQ
900,Institute of Data Science at Maastricht University,32,1972,28,2021-01-21T11:27:51.335913Z,Institute of Data Science at Maastricht University,UCMgGGMTGRUCA1YLXq3-FnVg
902,R Data Science School,138,2288,14,2022-02-20T15:09:16.319624Z,R Data Science School,UCg6kociUghEgKz_hLRKQrMQ
904,Data Science by yogi,47,1905,26,2021-04-04T21:52:48.124084Z,Data Science by yogi,UCZ1ZHjgLltUOsGH8agZh1wA
906,bits and bytes of Data Science,7,697,1,2021-01-20T22:30:57.731988Z,bits and bytes of Data Science,UCqA4sTVxYLU_FiPhF5B80qQ
908,ExcelR,25400,909931,479,2013-09-29T05:45:31Z,ExcelR,UCF2_gALht1C1NsAm3fmFLsg
910,Learn Data Science,0,57,5,2020-11-08T17:19:19.294185Z,Learn Data Science,UCJhW_16uxALr0X4olEW2p5A
911,Learn Data Science,0,57,5,2020-11-08T17:19:19.294185Z,Learn Data Science,UCGBfiCUQZHY5wnnVnQzV7pw
912,Learn Data Science,0,57,5,2020-11-08T17:19:19.294185Z,Learn Data Science,UCEu0zQIMxlLNqZQGxghPNog
913,Learn Data Science,0,57,5,2020-11-08T17:19:19.294185Z,Learn Data Science,UCyV_sDyCIsoHm-8iow5kkYQ
918,Women in Data Science Auckland,64,2846,19,2020-06-10T07:20:26.024944Z,Women in Data Science Auckland,UCEZy_7c5rXF1GqxhmOI-Dxg
920,Women in Data Science Athens Forum 2021,17,584,1,2021-05-17T15:00:59.553162Z,Women in Data Science Athens Forum 2021,UCQz_T2BIZjZR7QVDzOAy0sQ
922,Data Science Explorer,1,10,1,2022-08-18T19:16:02.827866Z,Data Science Explorer,UCGqFMXGaQsq0YvAeM9v_HxA
924,Data Science Dad,215,3326,18,2020-07-05T19:25:50.660492Z,Data Science Dad,UCEbnyu9NdztMcOa5epgy2NQ
926,Data Science Classes,2,2400,2,2019-11-24T12:07:51.804103Z,Data Science Classes,UCpu3gddrq054Axc3ww0FZAg
928,Desafio Data Science,204,2722,16,2022-05-30T10:02:57.352598Z,Desafio Data Science,UCD2HpuEh4WVRGTjHBvVYziQ
930,AUC Data Science Initiative,194,3530,37,2021-01-22T03:25:33.952025Z,AUC Data Science Initiative,UCxLeafaLWeGxwJSWJC247jw
932,Data Science Sports,1,34,1,2022-08-24T16:45:21.450397Z,Data Science Sports,UC_CVwaiL_o0uL422Wt1LRPA
934,Data Science PJ,13,375,4,2016-07-30T12:54:35Z,Data Science PJ,UCoOvPwADbmNJJp0jgGYc_OA
936,Data Science Univr,50,2122,11,2020-06-29T15:01:57.739666Z,Data Science Univr,UCEg3--7ttg3PE_T_92pn9QA
938,Digital Skola,433,110551,35,2020-11-12T03:38:17.5812Z,Digital Skola,UC8lUGsyZgmVDf2cWyvFJwew
940,Data Science Conference,1000,68586,333,2015-11-02T08:47:25Z,Data Science Conference,UC-yt9rh6xh9Ym0vtTIA105w
942,Data Science with Ehsan,129,3241,101,2021-12-08T12:14:07.278954Z,Data Science with Ehsan,UCV_h0TAY3IHRpXDo8dCa6CA
944,Pacmann AI,3450,178088,194,2019-10-12T09:46:31.892444Z,Pacmann AI,UC5oiB8wDG17W8XALdLjlFEw
946,"3RI Technologies - AWS, DevOps, Python,Data Science Online Training",1990,164895,233,2017-05-05T12:46:33Z,"3RI Technologies - AWS, DevOps, Python,Data Science Online Training",UCQrYtU3mlW9rEy7YqDgXpuw
948,Africa Data Science Summit,58,1406,26,2020-11-15T18:49:41.55995Z,Africa Data Science Summit,UCc2xaLFRFyPjhMfcAsA7jOg
950,Studying Data Science(TEMPORARY CHANNEL),1,0,1,2022-08-19T20:11:15.054788Z,Studying Data Science(TEMPORARY CHANNEL),UCnRKhyhFHs7ANzMbb56ur5w
952,DataTalksClub ⬛,15300,287043,262,2020-10-23T17:28:41.881813Z,DataTalksClub ⬛,UCDvErgK0j5ur3aLgn6U-LqQ
954,8FX,0,0,1,2022-08-15T05:00:53.799749Z,8FX,UCFoT07niFH8ikWT4qAFwo3A
956,krishna teja,0,0,0,2021-02-06T04:14:09.922926Z,krishna teja,UCrjkHBARim7H8fa0nT-gBuA
958,Digital Shaheer 92,0,2,1,2022-08-14T04:25:57.562869Z,Digital Shaheer 92,UCyOw9oZ6Upf8yhjY1n2CeZg
960,Machine Learning Colombia,713,8792,24,2017-05-18T22:29:27Z,Machine Learning Colombia,UC4BBy3YOBNJwlvD5c82pORA
962,dotnet full stack,0,0,0,2022-06-20T10:24:49.136834Z,dotnet full stack,UCMFsvurAN4jhtGwzia2a8Hw
964,pantechsolutions,279000,8552521,1306,2008-07-21T08:35:25Z,pantechsolutions,UCzDbg392XuzwwWKdkpa41xg
966,Study Hacks,10500,302334,413,2017-06-27T04:52:50Z,Study Hacks,UCmVAM92fX1ag8-6V1lsvH_w
968,Data Science Hub,31,528,29,2020-04-15T23:49:05.267132Z,Data Science Hub,UCF5sgzpVHKI2tXWzJ3BqPaA
970,expert ai,789,52327,152,2007-05-17T15:02:30Z,expert ai,UCGF6svv_-AgkWeJBRvC8dpg
972,Jedha Bootcamp,2480,193109,201,2018-05-16T10:48:48Z,Jedha Bootcamp,UC_eP8EL0XZYwmTf1_m1U6-Q
974,Python Bytes Podcast,2690,60133,183,2020-04-08T18:46:20.880768Z,Python Bytes Podcast,UCK_eZkV9CYCxhdf9f0dEukA
976,Fachhochschule Graubünden,740,5913471,217,2011-08-04T07:58:54Z,Fachhochschule Graubünden,UCBeTR6yZb_6rBHYrH60b1Lg
978,Computer Science With Hamza Ali ,61,197,2,2022-08-22T08:33:28.083683Z,Computer Science With Hamza Ali ,UCqfA0YGl5jhe9JCvTPS33NQ
980,SYMSON,30,1751,60,2019-10-07T11:41:18Z,SYMSON,UCejHnTldZclP6jbqviXeDpg
982,Crecer con Datos | Kristianm,1,79,7,2021-04-17T11:04:41.387369Z,Crecer con Datos | Kristianm,UCCOAEUA4zegpYfWemeiOtKQ
984,CloudxLab Official,15400,1326373,408,2016-02-25T18:48:05Z,CloudxLab Official,UC8mJ6DL1Q32UWyJUceoO8Jw
986,Comet ML,394,17289,119,2018-08-13T16:28:32Z,Comet ML,UCmN63HKvfXSCS-UwVwmK8Hw
988,Pragmatic AI Labs,7010,364402,611,2018-07-29T01:33:24Z,Pragmatic AI Labs,UCNDfiL0D1LUeKWAkRE1xO5Q
990,Coding Ninjas,344000,35541812,2322,2016-08-04T02:53:26Z,Coding Ninjas,UCZJlMUYdbtzQ8tVfLvK1KvQ
992,Gaurav Sen,469000,22758851,231,2012-04-20T10:37:45Z,Gaurav Sen,UCRPMAqdtSgd0Ipeef7iFsKw
994,CareerFoundry,105000,5302308,212,2013-10-20T13:23:10Z,CareerFoundry,UCzAF54cHk1ZO82af-8E3qOQ
996,Intellipaat,1470000,91428772,3051,2013-01-24T06:37:31Z,Intellipaat,UCCktnahuRFYIBtNnKT5IYyg
998,Meetz,0,1,2,2022-08-23T18:37:55.268279Z,Meetz,UCXLxCSBgxrSMh-BWAig__Vg
1000,STEAM TALENT®,1,9,2,2022-08-24T11:01:39.693406Z,STEAM TALENT®,UC5rm15vyKy7Vqf7XW3AMTzQ
1002,San Francisco Bay ACM,5030,456870,221,2010-12-23T04:24:08Z,San Francisco Bay ACM,UCkWtKo2KIRioGMysSeQC6gg
1004,Pine Biotech,11900,823829,848,2015-01-06T22:49:58Z,Pine Biotech,UC8OMvIKFetytMhCp3euKHDg
1006,Pentester Academy TV,59600,2157190,967,2011-12-14T18:02:39Z,Pentester Academy TV,UChjC1q6Ami7W0E71TzPZELA
1008,ACM SIGPLAN,5320,623759,2032,2018-11-18T19:10:02Z,ACM SIGPLAN,UCwG9512Wm7jSS6Iqshz4Dpg
1010,DrKBs Tutorials,48,2420,144,2020-07-13T14:48:55.467264Z,DrKBs Tutorials,UCa9RqYYthUDGEgBb5HzORpw
1012,R Programming 101,55300,1717581,47,2018-10-31T11:42:22Z,R Programming 101,UCfJyQ3P2k_SuqfxVdqIEQNw
1014,Computer Science University,30,162,4,2022-08-15T12:01:14.501543Z,Computer Science University,UCeDI6oCRtUPtYRu-ff33_rA
1016,Techcanvass,15900,1720464,506,2015-11-23T15:04:39Z,Techcanvass,UCDHsj-2kb_bGk_Dr3ktSSbg
1018,DevExpress,51700,12986320,1490,2008-04-25T22:38:23Z,DevExpress,UCtOjyugQSbxjQGuimGVsLVg
1020,Study with Tina,16900,186445,149,2020-12-31T19:32:27.070814Z,Study with Tina,UCI8JpGrDmtggrryhml8kFGw
1022,Growth Tribe,71900,2682726,196,2015-05-19T14:10:33Z,Growth Tribe,UCj6owuAZrJNsjQzc2ZtILIw
1024,AICamp,7640,260647,278,2015-06-13T17:45:31Z,AICamp,UCj09XsAWj-RF9kY4UvBJh_A
1026,National Human Genome Research Institute,35800,5076230,2179,2008-03-08T14:12:12Z,National Human Genome Research Institute,UCUp6Pd9fx8_UX7S38Ih_JqA
1028,Suhayb,5030,71154,164,2013-06-07T22:42:12Z,Suhayb,UCcahFtRVMggxWrnGQ2pYvqw
1030,KR NETWORK CLOUD,3250,183794,341,2015-11-26T10:08:31Z,KR NETWORK CLOUD,UCuYH5V2Y5UvtU8zW0pgezig
1032,Enterprise DNA,68200,10200947,834,2016-05-21T01:35:31Z,Enterprise DNA,UCy2rBgj4M1tzK-urTZ28zcA
1034,Shailendra Kumar,1370,94388,216,2012-05-05T10:49:04Z,Shailendra Kumar,UCI08ZNHPfMZW3GfE0VtMJpg
1036,"Shivaji Science College, Congress Nagar, Nagpur",163,3221,25,2021-10-04T11:04:36.7218Z,"Shivaji Science College, Congress Nagar, Nagpur",UCGIV5WS_K1umY-SkpCzmQMg
1038,Geekle Official,11300,299121,124,2020-03-30T16:02:34.687186Z,Geekle Official,UCT-RTQuSWLsJXytEy7Q7n4g
1040,MCQs DATA Official,40,148,1,2020-04-14T10:49:59.133809Z,MCQs DATA Official,UCygGw_lR-5T9BWLNEonbLKg
1042, Naik technology 2.0,311,13409,22,2021-12-18T08:58:33.520465Z, Naik technology 2.0,UCYurO8pDKmjLt63aoHyJVzg
1044,19_154-ALFINI NURIL INSANI,6,122,3,2020-04-01T03:26:09.084541Z,19_154-ALFINI NURIL INSANI,UCblFcvWB0FjiJxEs4woxhLw
1046,Lets Learn,9,200,10,2022-07-12T11:34:50.113159Z,Lets Learn,UCgE6Egd5YN9upOggd3fp-KQ
1048,Daily Science Video,2890,79,7,2018-04-29T07:57:53Z,Daily Science Video,UC-Rb11znYsFACotCNgakxIw
1050,Jakir Fakir,1,0,1,2021-09-14T17:20:54.791731Z,Jakir Fakir,UCRbFU0oGVAUFH7nGT4q4ICg
1052,Luke Barousse,226000,10430634,77,2020-08-03T09:02:41.213077Z,Luke Barousse,UCLLw7jmFsvfIVaUFsLs8mlQ
1054,Mikarsh Data Analyst,2270,120703,23,2020-10-14T21:55:41.178533Z,Mikarsh Data Analyst,UCPYQ_ukwqU3dB_f05gXQtuA
1056,Data Analyst KSA,89,1157,21,2021-12-23T14:19:07.444396Z,Data Analyst KSA,UCnNyRbwNMbeeom-gGLIDQgg
1058,Data Science & Analytics,3,220,2,2021-12-27T22:38:07.442376Z,Data Science & Analytics,UCmLNvYjw8R_ydUOdNXVK6DQ
1060,Data Science Preparation Hub,560,31992,28,2021-06-21T05:13:16.529335Z,Data Science Preparation Hub,UC0UPZrdARQxMufFATkfV67A
1062,Data Science School,176,501,4,2021-06-10T01:01:41.011683Z,Data Science School,UCdcjBJmE7CnTMAD_zNHjmbw
1063,Data Science School,176,501,4,2021-06-10T01:01:41.011683Z,Data Science School,UCTkbP1KbfQQlt1sqHJ0GDbA
1066,Tina Huang,388000,15202080,106,2013-08-28T18:05:17Z,Tina Huang,UC2UXDak6o7rBm23k3Vv5dww
1068,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
1069,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
1070,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
1071,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
1072,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
1073,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
1074,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
1075,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
1076,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
1077,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
1078,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
1079,Data Analyst,0,7,1,2022-04-05T20:58:29.881009Z,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
1092,Data analyst,2,131,1,2020-04-12T03:42:41.594884Z,Data analyst,UC2374X8xGHHCmKgGYRlcdKQ
1093,Data analyst,2,131,1,2020-04-12T03:42:41.594884Z,Data analyst,UCdBfiy8RFDRpXuNGpUv-5ig
1094,Data analyst,2,131,1,2020-04-12T03:42:41.594884Z,Data analyst,UCz4fnmjhrdyvVb_mwOpoUOw
1098,Data analyst,32,3,1,2019-09-20T15:51:16Z,Data analyst,UC2374X8xGHHCmKgGYRlcdKQ
1099,Data analyst,32,3,1,2019-09-20T15:51:16Z,Data analyst,UCdBfiy8RFDRpXuNGpUv-5ig
1100,Data analyst,32,3,1,2019-09-20T15:51:16Z,Data analyst,UCz4fnmjhrdyvVb_mwOpoUOw
1104,Aditi Gupta,1890,69081,47,2017-09-24T11:05:09Z,Aditi Gupta,UCdq65x-0_G8sMhwWNgtmXaQ
1106,David Data,538,5705,46,2021-10-16T21:04:22.334004Z,David Data,UChgFPwS74s62ymGX_1usMSA
1108,Data & Analytics,68,947,9,2019-11-12T05:46:02.867642Z,Data & Analytics,UC9uEwG25Q7qlRCcpMVJv0NA
1110,Data 360 YP,18300,793891,105,2019-07-26T14:22:20Z,Data 360 YP,UCqtValEjW3-Mar0sqiWO_Hw
1112,Ali Ahmad,11600,406325,80,2019-10-19T16:50:36.317895Z,Ali Ahmad,UCaDh-eU-lds_d9kS976vBVw
1114,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
1115,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
1116,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
1117,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
1118,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
1119,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
1120,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
1121,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
1122,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
1123,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
1124,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
1125,Data Analyst,6,98,2,2020-08-22T02:27:06.270978Z,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
1138,Sports Data Analyst,2,48,4,2022-04-09T11:08:09.884701Z,Sports Data Analyst,UChA5fOAfX904l8Vlt2N6tlQ
1140,Ambeone Institute of Data Science and AI,12,1525,64,2019-02-25T17:45:08Z,Ambeone Institute of Data Science and AI,UCoL5JU3DmITRNWVCsVti8kw
1142,Learn Data Science Technologies,798,25894,15,2018-03-17T11:30:42Z,Learn Data Science Technologies,UCDYh3SWuUnHcgEWP7ThXgiA
1144,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
1145,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
1146,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
1147,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
1148,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
1149,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
1150,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
1151,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
1152,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
1153,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
1154,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
1155,Data Analyst,2,4,1,2021-11-05T14:38:04.050385Z,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
1168,L'Atelier Data,2050,49533,18,2020-08-11T17:01:49.862636Z,L'Atelier Data,UCU4WWGf9QzTH9UjgKg9PN0Q
1170,Bhargavi - Data Analyst,324,3493,8,2020-05-04T14:20:49.192758Z,Bhargavi - Data Analyst,UCto9iONQdirtQUlfYeUyknw
1172,Data Analyst Mentor,200,4764,14,2021-04-17T18:04:03.575237Z,Data Analyst Mentor,UCVipKAIO1dIzlVNHJmKcWaQ
1174,Storytelling by Data ,2190,62442,49,2015-09-21T14:31:28Z,Storytelling by Data ,UC-TXcMOtjJVhDgo5C7pP7pw
1176,Ngomongin Data Science dan AI,355,8942,10,2022-01-13T08:10:55.885688Z,Ngomongin Data Science dan AI,UCnY0fUM0HSvbckPwPpIXmTA
1178,Data Scientist,28,1830,13,2021-08-04T04:42:20.023881Z,Data Scientist,UCoaCkgU8qvF2Yb6T6B4uz4w
1180,Sam The Data Analyst,19,359,7,2022-05-13T12:58:53.895723Z,Sam The Data Analyst,UCVD2F7dYFKzRJTRz1OGhDPQ
1182,Esteka-Data,102,14387,14,2022-04-07T01:10:31.775778Z,Esteka-Data,UCWRptY1HAsf1l_SH-8iaa4A
1184,Data Driven Thinking,572,22497,21,2020-06-29T18:27:47.083437Z,Data Driven Thinking,UCpmwW_X4F9-ZcOTx10WFhjw
1186,Practicum: Coding bootcamps,1240,33339,38,2019-12-12T09:02:51.90125Z,Practicum: Coding bootcamps,UCCIwsFWZNuugtW1U2X89t7A
1188,Data Analyst Empire,5,242,15,2022-07-01T09:54:42.202424Z,Data Analyst Empire,UC9_GZ8jKR8hCorVJGMt0A2A
1190,Data Analyst,0,58,1,2022-02-02T09:30:31.487179Z,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
